,2019,2020,2021,2022,2023
Bronx,30.82,39.17,68.48,38.79,49.02
Brooklyn,36.71,51.64,74.00,60.91,57.77
Manhattan,30.40,40.04,55.26,40.22,45.07
Queens,23.62,34.54,70.90,52.84,41.43
Staten Island,20.07,29.90,37.80,30.64,35.77
