,Bronx,Brooklyn,Manhattan,Queens,Staten Island
Dismissed,6642,11422,9233,6788,1166
ACD,2766,4428,4335,4298,597
Convicted,3415,3395,5366,5256,1390
Other,726,528,1552,44,107
