,2019,2020,2021,2022,2023
Bronx,34.30482561,21.46008403,13.15754952,22.34267583,25.20481216
Brooklyn,32.04476528,14.76717263,11.33562222,17.16784203,17.16987812
Manhattan,49.43533975,26.15286928,23.72032455,27.24897169,26.193498
Queens,49.91451412,26.18274112,13.22280631,23.38157895,32.07616258
Staten Island,64.82676225,45.6,43.47275032,45.56348074,42.63803681
