,2019,2020,2021,2022,2023
Bronx,27382,"15,173","21,754",23259,23003
Brooklyn,26430,"14,753","20,233",20886,23742
Manhattan,28458,"14,330","21,163",22821,25256
Queens,22414,"10,709","18,171",15863,17436
Staten Island,4539,"2,257","3,441",3872,3641
