,2019,2020,2021,2022,2023
Bronx,33.83,39.12,56.09,46.78,50.62
Brooklyn,40.05,52.34,65.81,61.67,59.79
Manhattan,25.61,33.73,40.95,39.13,39.87
Queens,18.98,25.83,52.37,43.96,35.41
Staten Island,25.90,34.42,35.05,28.71,30.64
