,Felony Dismissal Rate,Misdemeanor Dismissal Rate,Felony Conviction Rate,Misdemeanor Conviction Rate
Manhattan,39,45,41,26
Four Boroughs,49,49,35,25
Non-NYC,13,15,67,53
