,2019,2020,2021,2022,2023
Bronx,21.39605463,19.11451682,19.27468099,31.08997805,29.75753123
Brooklyn,15.15707407,16.28527841,16.36096845,31.28116193,26.4815177
Manhattan,35.94784768,33.67500754,26.39756527,35.37595748,33.76664056
Queens,16.27882709,16.20347395,14.44533121,21.74843889,18.46566827
Staten Island,27.77142857,21.57534247,18.49963583,25.42262679,19.04761905
