,2019,2020,2021,2022,2023
Bronx,53.57288025,38.69214297,30.56867173,36.652069,32.82682103
Brooklyn,45.18234563,25.75132587,23.38709677,24.98375217,24.65403346
Manhattan,66.59316428,50.80410476,46.20337478,42.97615049,41.14311489
Queens,67.48591549,52.97055731,36.21125641,41.24052682,47.53525856
Staten Island,62.76901004,51.80366647,53.29968944,54.38472419,49.81878089
