,Bronx,Brooklyn,Manhattan,Queens,Staten Island
Dismissed,6296,12400,6187,5273,930
ACD,1458,2148,1619,2310,281
Convicted,4083,5113,6385,7078,1512
Other,601,1078,1328,229,312
