,2019,2020,2021,2022,2023
Bronx,14963,8581,12835,15273,16752
Brooklyn,21032,12408,18827,19953,22310
Manhattan,15210,7450,14451,15982,16856
Queens,14956,8448,14657,14380,15834
Staten Island,2929,1843,2650,2981,3212
